idx,arm,current_mr,mr,delta_mr,current_h2,h2,instr_len,query_len,generality_score,locality_score,patterns,bad_patterns,instr_title_hits,instr_risky_titles,query_title_hits,query_risky_titles,question,current_query,query,instruction_excerpt
108,prompt_update_Rq_delta_p_only_aggregate_steps_4,0.0,1.0,1.0,0.0,0.5,1812,35,6,3,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; query_string_like_delta,boolean_heavy; multi_query,,,,,Are Solo and La Croix Sparkling Water produced in the same country ?,Solo (soft drink) Australian lemon-flavoured carbonated drink produced in Australia manufacturer Schweppes Asahi,Solo (Australian) origin soft drink,"Given the fields `question` and `summary_1`, produce the field `query` optimized for the second retrieval hop. When the question compares production/origin countries and one brand name is ambiguous or missing an explicit production-country in the summary, force a disambiguation-before-compare retrieval step: emit exactly one compact BM25 query that disambiguates the ambiguous brand and targets a lead/infobox country-of-origin statement. Rules: - Preserve the canonical entity name tokens and, if needed for disambiguation, a short parenthetical disambiguator immediately after the name (e.g., (Australian) ). - Restore an explicit country/origin extraction cue (examples: origin, country, country of origin, produced in) to steer retrieval to a lead or infobox line. - Optionally include one short descriptive type token (e.g., soft drink) only if it aids disambiguation; otherwise omit. - Drop manufacturer, distributor, global-brand, flavor, and other noisy tokens (examples: Schweppes, ..."
108,prompt_update_Rq_full_context_aggregate_steps_4,0.0,1.0,1.0,0.0,0.5,1904,24,4,2,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; bm25_interface_guard; single_query_guard; multi_query_drift; leakage_language,boolean_heavy; multi_query; leakage_language,,,,,Are Solo and La Croix Sparkling Water produced in the same country ?,Solo (soft drink) Australian lemon-flavoured carbonated drink produced in Australia manufacturer Schweppes Asahi,Solo (soft drink) origin,"Given the fields question and summary_1, produce the field query optimized for the second hop. Follow these rules: - Purpose: retrieve additional authoritative lead/infobox or disambiguation lines needed to resolve missing production/origin facts (e.g., when comparing whether two beverages are produced in the same country). - Identify missing entities or ambiguous names in summary_1 and target those for disambiguation before comparison. - If one brand is ambiguous or missing origin info, force a disambiguation-first, extraction-oriented query that returns a short lead/infobox line stating country/origin. - Query shape (must produce exactly one BM25 query string): prefer 2–4 high-precision tokens in this order — 1) brand name token, 2) optional parenthetical disambiguator immediately after the brand (e.g., (Australian soft drink)) if needed to resolve ambiguity, 3) one short extraction cue token such as origin or country or produced. Example structure: [Brand][(disambiguator)] ..."
82,prompt_update_Rq_delta_p_only_aggregate_steps_4,0.0,1.0,1.0,0.5,1.0,2558,97,3,4,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; leakage_language,web_syntax; boolean_heavy; multi_query; leakage_language,Bushwhacker,,Bushwhacker,,"What type of criminals, named after a term from the Revolutionary War, were involved in the Clay County Savings Association Building robbery?","""Clay County Savings Association robbery"" 1866 Liberty Missouri Jesse James Archie Clement James–Younger Gang guerrillas bushwhackers partisans term origin Revolutionary War usage",Clay County Savings Association robbery Missouri guerrilla bushwhacker partisan definition called,"Given the fields `question` and `summary_1`, produce the field `query` optimized for the second hop. Generate exactly one compact BM25-style bag-of-words query (single line, plain text, no operators, no punctuation beyond bare words, no multiple queries) that prioritizes short encyclopedia/dictionary lead lines naming the robbers with a single label. Preserve: - The event anchor (the robbery name or short event phrase, e.g., ""Clay County Savings Association robbery"" or a concise variant) and a location token (""Liberty"", ""Missouri"" or ""Missouri Civil War"") so the robbery article ranks high. - A small candidate set of one-word perpetrator-label tokens (e.g., guerrilla, bushwhacker, partisan). Keep these tokens together in the query. - A short context cue to bias toward concise definitions or lead sentences: one of ""definition"", ""lead"", or ""perpetrators"" and a Civil‑War/Missouri context token (""Civil War"" or ""Missouri""). Restore/include cues that force short-label retrieval: - An ..."
82,prompt_update_Rq_full_context_aggregate_steps_4,0.0,1.0,1.0,0.5,1.0,1756,103,3,4,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; leakage_language,web_syntax; boolean_heavy; multi_query; leakage_language,Bushwhacker,,Bushwhacker,,"What type of criminals, named after a term from the Revolutionary War, were involved in the Clay County Savings Association Building robbery?","""Clay County Savings Association robbery"" 1866 Liberty Missouri Jesse James Archie Clement James–Younger Gang guerrillas bushwhackers partisans term origin Revolutionary War usage",Clay County Savings Association robbery Liberty Missouri perpetrators guerrillas bushwhackers Civil War,"Given the fields `question` and `summary_1`, produce the field `query` containing exactly one compact BM25-style bag-of-words query optimized for the SECOND hop. Your goal is to retrieve concise documents missed by the first hop (e.g., an article lead sentence or a short definition) that supply a single noun-label or tightly focused context needed to answer the question. Rules: - Preserve event and location anchors from the sample (keep the robbery/event phrase and place tokens as plain words). - Preserve a small candidate set of one-word label tokens when uncertain (e.g., guerrillas, bushwhackers, partisan) rather than expanding into many synonyms. - Restore retrieval cues that bias toward short lead/definition evidence: include an action/label cue such as robbers called or perpetrators or robbers were described as, plus a short context token like definition and a locality/context specifier (Civil War or Missouri). - Drop noisy side entities and long biographical or etymology ..."
118,prompt_update_Rq_delta_p_only_aggregate_steps_4,0.5,0.5,0.0,0.5,0.5,2059,54,5,0,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift,web_syntax; boolean_heavy; multi_query,,,,,"What acress starred in both ""Third Person"" and ""From Here to Eternity""?",Third Person (2013 film) cast; From Here to Eternity (1953 film) cast; From Here to Eternity (1979 miniseries) cast,Third Person 2013 cast From Here to Eternity 1953 cast,"Given the fields `question` and `summary_1`, produce the field `query` optimized for the second hop. Follow these rules exactly. - Role and intent: If the question asks which performer (actress) “starred in both” / “appeared in both” two named works, preserve that relation cue and the answer type (PERSON — actress). Treat the two named works as TitleA and TitleB whose top-billed female cast sets will be intersected. - Disambiguation requirement: For any ambiguous title, attach an explicit disambiguator token (a release year or a format token such as miniseries/film). Prefer the most likely canonical/prolific release year by default unless the user specifies otherwise. - Cast-targeting tokens: For each title, append a cast retrieval cue (use 'cast' or 'starring') so returned documents contain authoritative ""Cast""/""Starring"" sections with top-billed performers. Prefer the single token 'cast' when possible. - Query shape: Output exactly one compact BM25-style single-line query formed ..."
118,prompt_update_Rq_full_context_aggregate_steps_4,0.5,0.5,0.0,0.5,0.5,1491,54,5,0,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift,web_syntax; boolean_heavy; multi_query,,,,,"What acress starred in both ""Third Person"" and ""From Here to Eternity""?",Third Person (2013 film) cast; From Here to Eternity (1953 film) cast; From Here to Eternity (1979 miniseries) cast,Third Person 2013 cast From Here to Eternity 1953 cast,"Given the fields `question` and `summary_1`, produce the field `query` optimized for the second hop. Output exactly one compact BM25 query string (single-line, plain tokens) that retrieves authoritative cast/starring pages for the two named works so their top-billed female performers can be compared. Rules: preserve the relation cue (the question’s “starred in both” / overlap-of-cast) and the expected answer type (person — actress). Treat the two titles as distinct anchors (SOURCE_TITLE and TARGET_TITLE). Disambiguate ambiguous titles by appending the canonical release year or format token (e.g., a year or the word miniseries) for each title; when the summary or common usage implies a most-likely year, prefer that year. Append the token cast (or starring) tied to each title to prioritize pages with clear cast sections. Produce one plain text bag-of-words query following the template: <TitleA> <YearA> cast <TitleB> <YearB> cast. Keep the string short (aim ~6–12 tokens), use no ..."
132,prompt_update_Rq_delta_p_only_aggregate_steps_4,0.0,0.0,0.0,0.5,0.5,1751,44,5,5,preserve_anchor; restore_relation_or_type; drop_noisy_entity; bm25_interface_guard; single_query_guard; multi_query_drift; query_string_like_delta; leakage_language,boolean_heavy; leakage_language,,,Selmasongs,,"The soundtrack to 'Dancer in the Dark' is by what Icelandic singer, songwriter, actress, record producer, and DJ?","Björk Guðmundsdóttir biography birthdate occupations discography filmography ""Selmasongs"" soundtrack credits Vespertine production credits",Selmasongs soundtrack Bjork Icelandic singer,"Given the fields `question` and `summary_1`, produce the field `query` optimized for the second hop of a multi‑hop retrieval system. Apply this instruction when the question asks who performed or is credited for a named film soundtrack or soundtrack album (triggers: contains 'soundtrack', 'soundtrack to', film title, or album title). Preserve the core anchors from the input: album/soundtrack title token(s) and film title token(s) if present, the artist token(s) already visible, and the relation cue 'soundtrack'/'soundtrack by'. Restore concise album/release‑level bridge cues that target credit pages: prefer one of {soundtrack, soundtrack credits, credits, credited, performed, performed by, liner notes, album, release, artist} and optionally a reputable music‑database token such as AllMusic or Discogs or the token 'label' to bias toward release metadata. Drop or avoid broad biography and noisy deep‑detail tokens that cause irrelevant results: biography, birthdate, occupations, ..."
132,prompt_update_Rq_full_context_aggregate_steps_4,0.0,0.0,0.0,0.5,0.5,2723,27,3,5,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; query_string_like_delta; leakage_language,web_syntax; boolean_heavy; multi_query; leakage_language,,,Selmasongs,,"The soundtrack to 'Dancer in the Dark' is by what Icelandic singer, songwriter, actress, record producer, and DJ?","Björk Guðmundsdóttir biography birthdate occupations discography filmography ""Selmasongs"" soundtrack credits Vespertine production credits",Selmasongs soundtrack Bjork,"Given the fields `question` and `summary_1`, produce the field `query` optimized for the second hop of a multi‑hop retrieval system. Instruction (apply when the question asks who performed/is credited for a named film soundtrack or soundtrack album, e.g., contains the word ""soundtrack"", ""soundtrack to"", a film title, or an album title): - Goal: emit exactly one compact BM25-style keyword query (one single-line, space-separated string) that surfaces album-/release-level sources (album page, soundtrack credits, liner notes, reputable music-database entries) which explicitly credit the soundtrack artist and, when helpful, include a short artist descriptor. - Preserve high-priority anchors from the input: the album or soundtrack title token(s) and/or film title, the plain-stage artist token if already visible, and the relation cue ""soundtrack"" (treat these anchors as required tokens). - Restore concise album/credit bridge cues to target release-level evidence. Include exactly one or ..."
140,prompt_update_Rq_delta_p_only_aggregate_steps_4,0.0,0.0,0.0,0.5,0.0,2767,30,3,5,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; query_string_like_delta; leakage_language,web_syntax; boolean_heavy; multi_query; leakage_language,World Poker Tour,,World Poker Tour,,When was the winner of the series of international poker tournaments started in 2002 by Steven Lipscomb who has also won four World Series of Poker bracelets born?,"George Danzer World Poker Tour champion OR ""List of World Poker Tour champions"" ""four World Series of Poker bracelets"" birth date São Paulo",George Danzer World Poker Tour,"Given the fields `question` and `summary_1`, produce the field `query` optimized for the second hop. The generator must emit exactly one compact BM25-style keyword query (single-line, 3–6 tokens where possible) and nothing else. Choose one of the following three rule-driven templates depending on the retrieval trigger inferred from `summary_1` and prior hop state: 1) Candidate‑verification trigger (the next hop must verify whether a named candidate person is a World Poker Tour winner): - Preserve the candidate-person anchor (the person’s full name) and restore the canonical series anchor. - Drop list-oriented, birthdate/place, bracelet-count, other-player, and search‑operator tokens. - Template (single compact BM25 query): [PERSON] World Poker Tour - Purpose: surface pages that explicitly tie the named person to the World Poker Tour. 2) List‑lookup trigger (the retrieval goal is an authoritative, consolidated WPT winners/champions list to check presence of names): - Remove person- ..."
140,prompt_update_Rq_full_context_aggregate_steps_4,0.0,0.0,0.0,0.5,0.0,2390,35,3,5,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; query_string_like_delta; leakage_language,web_syntax; boolean_heavy; multi_query; leakage_language,World Poker Tour,,World Poker Tour,,When was the winner of the series of international poker tournaments started in 2002 by Steven Lipscomb who has also won four World Series of Poker bracelets born?,"George Danzer World Poker Tour champion OR ""List of World Poker Tour champions"" ""four World Series of Poker bracelets"" birth date São Paulo",George Danzer World Poker Tour born,"Given the fields question and summary_1, produce the field query optimized for the second hop as a single compact BM25 keyword phrase according to the following rules. 1) Decision and anchors - If summary_1 yields one high-confidence candidate person (a single named ""Candidate person"" or an obvious person anchor), preserve that person's full name as the primary anchor token. - If the candidate is absent or uncertain and the task is to find which WPT winner matches a bracelet-count constraint, do not include any person name; instead target an authoritative winners/champions list and the bracelet-count cue. 2) Relation and cue restoration - Always restore an explicit World Poker Tour relation cue to force pages that tie people to the series (use tokens such as World Poker Tour or WPT plus a short relation token like winner or champions). - When seeking a birth date (final entity-centric hop), add a brief birth cue only when the birthplace is already present in summary_1 (use born or ..."
149,prompt_update_Rq_delta_p_only_aggregate_steps_4,0.0,0.0,0.0,0.5,0.5,1642,32,3,4,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; query_string_like_delta; leakage_language,web_syntax; boolean_heavy; multi_query; leakage_language,Hulder,,Hulder,,A mythical forest creature that is seductive and from Sweden has the same being as what divine figure?,Huld völva Holda Holle Germanic goddess origin of hulder skogsrå Tallemaja,hulder Huld Holda völva identity,"Given the fields `question` and `summary_1`, produce the field `query` optimized for the second hop. Generate exactly one compact BM25-style keyword query (one line, tokens separated by single spaces) that retrieves concise etymology/identity or comparative‑mythology passages linking a folkloric term to an older/divine/seer figure. Rules: - Preserve core canonical anchors (prefer the 1–3 most common forms): hulder Huld Holda. If the visible inputs include a specific form, prefer that canonical spelling. Do not list long orthographic variant sets unless present in inputs. - Restore a role/type cue and at least one relation/bridge cue: include the role token völva (or seer) and an etymology/identity marker such as etymology origin identity originally same being cognate. Ensure at least one etymology marker and the role marker are present. - Query ordering and shape: place 1–3 preserved entity anchors first, then one role/type token (völva/seer), then 1–2 relation tokens (etymology ..."
149,prompt_update_Rq_full_context_aggregate_steps_4,0.0,0.0,0.0,0.5,0.5,2372,42,3,5,preserve_anchor; restore_relation_or_type; drop_noisy_entity; candidate_uncertainty; bm25_interface_guard; single_query_guard; web_search_drift; multi_query_drift; query_string_like_delta; leakage_language,web_syntax; boolean_heavy; multi_query; leakage_language,Skogsrå; Hulder,,Hulder,,A mythical forest creature that is seductive and from Sweden has the same being as what divine figure?,Huld völva Holda Holle Germanic goddess origin of hulder skogsrå Tallemaja,hulder Huld Holda völva identity etymology,"Given the fields `question` and `summary_1`, produce the field `query` optimized for the second hop of a multi-hop retrieval system. Your job is to output exactly one compact BM25-style query (one line, tokens separated by single spaces) that retrieves additional authoritative etymology/identity or comparative‑mythology passages not found in the first hop. Do not return multiple queries, explanations, titles, answers, or search-engine syntax. Trigger: apply when the question asks which older/divine/seer figure a folkloric term is “the same being as” or asks for the original identity of a named Swedish seductive forest-creature (e.g., hulder, skogsrå, local variants). Preserve: keep 1–3 primary entity anchors in canonical spellings (examples: hulder, Huld, Holda, Frau Holle). Preserve role/type cue token völva (or seer) and at least one philological marker (examples: etymology, origin, identity, huldr, huld, cognate). Restore: if the generator omits role/type or philological ..."
